Name,Description
Mirador del Vent,"Turó de dues puntes i un merlet situat entre el coll del Miracle i la roca d'en Guillot. De totes aquestes pedres, la més alta és la del Mirador del Vent."
Miranda dels Aurons,Roca separada per una estreta bretxa de la roca dels Aurons. Com indica el seu nom des del seu cim es té una important vista de la roca dels Aurons. Té un característica figura allargassada
Pedestal de la Vella,Roca adosada a la Vella per qui fa de contrafort per la vessant sud. Es pot pujar-hi per un collet que hi ha en la vessant est amb una curta grimpada.
Punta de les Cabres,Important punta rocosa amb dues profundes canals laterals i situada més abocada al nord que la resta de roques de la paret. El nom li ve perquè és freqüent trobar-hi cabres en el seu cim. Primera ascensió el 26 d'octubre de 1996 per Kim Prats i Cesc Caralt.
Roca 211 - Roca dels Enamorats,"Petit turó que es troba a la part dreta de la roca dels Aurons i adossada a las parets nord, integrat en un conjunt de riques que van en direcció a la roca del Salt de la Nina."
Roca 226 - Roca de la Cantonada,Roca de petites dimensions que representa el punt final del serrat dels Aurons per la seva vesant sud. Numèricament és la tercera roca de la carena que ve de la roca dels Aurons va a l'Esfinx dels Ecos.
Roca 228 - Roca de la Lluna,Roca de petites dimensions es troba unida a la paret est de l'Esfinx de la qual està separada per un petit collet herbós. Fou escalada per primera vegada per Josep Barberà el 30 de març de 1970.
Roca 229 - Roca del Sol,Roca situada a la vessat sud de l'Esfinx dels Ecos i separada d'aquesta per una canal. Presenta un paret est força alçada. No és més que un contrafort de l'Esfinx. Put pujar-se per la vessant nord amb una cuerta grimpada.
Roca de Coll de Port,"Roca situada en el coll de Port dominant aquest indret. David Hita palesa que tot i la seva numeració, 189, hauria de formar part de la Regió dels Frares Encantats, però la seva situació a l’est del coll de Port indica que forma part de la Regió dels Ecos. Si bé pel sud presenta un desnivell relativament suau, pel nord mostra una impresionant paret d'uns 80 metres."
Roca de la Taula d'en Bernat,"Aquesta roca de curiós perfil degut a que és una gran pedra rectangular col·locada a la part superior d’una marcada aresta que li fa de pedestal. Es troba al sud de la roca de l'Esfinx dels Ecos en direcció sud. La primera ascensió la fèren S. Ubach, V.Soto, J.Recasens, J.Bou i J.Barberà el 8 de març de 1970."
Roca del Bassal dels Ferros,"Roca situada sobre el Bassal dels Ferros (identificat també com a Bassal dels Avellaners) que e troba en la cruïlla del camí del Montgròs amb el torrent de la Coma dels Naps de Baix, es troba aquesta roca que està separada per un coll amb la cota 229. La primera ascensió fou realitzada per Josep barberà el 5 de juliol de 1970."
Roca del Coll del Miracle,Petita roca situada en el coll del Miracle que li dóna l'aspecte d'un indret encaixonat. Pot pujar-se fàcilment al seu cim per la cara sud.
Roca dels Aurons,"Important agulla de notables parets per totes bandes, encara que destaca un esperó de considerable longitud en la vessant nord. A diferència de les arestes de les roques montserratines que es troben a la cara del Bruc, aquesta roca es una de les poques que la seva aresta més ajaguda està a la cara nord. La primera ascensió la feren Caselles, Rubiralta, martínez i Bordas, escaladors manresans del CECB el 30 d'octubre de 1948."
Roca d'en Guillot,"Pujant des del collet del Miracle tot seguint la cresta dorsal de Montserrat en direcció a la roca dels Aurons es troba aquesta solitària roca, completament abocada a la muralla nord. Aquesta roca és fàcilment distingible perquè la seva figura destaca per damunt de les altres roques properes de menor importància. Té un atractiu esperó d'un centenar de metres. Primera ascensió per Josep Maria Torras i Joan Nubiola el 23 de març de 1953."
Roca Ignorada,Roca adosa a la veïna Punta de les Cabres i que passa desapercebuda per la voluminositat d'aquesta roca.
Roca Miraculosa,Gran roca situada al peu de l'agulla del Miracle. Agulla identificada per Manel Punsolà
Roques veïnes de la Roca d'en Guillot - Punta Central,"Al costat mateix de la roca d’en Guillot, molt a prop del camí, hi ha tres puntes rocoses de fàcil ascensió."
Roques veïnes de la Roca d'en Guillot - Punta Est,"Al costat mateix de la roca d’en Guillot, molt a prop del camí, hi ha tres puntes rocoses de fàcil ascensió."
Roques veïnes de la Roca d'en Guillot - Punta Oest,"Al costat mateix de la roca d’en Guillot, molt a prop del camí, hi ha tres puntes rocoses de fàcil ascensió."
Roques Veïnes de la Vella - Punta Central,"Pujant carena amunt des de la roca de la Vella, es troten tres turons. Les dues cotes més baixes són les més destacables i identificables. La cota més alta és la menys reeixida del conjunt i és la cota 232 o punta est."
Roques Veïnes de la Vella - Punta Est o Roca 232,"Pujant carena amunt des de la roca de la Vella, es troten tres turons. Les dues cotes més baixes són les més destacables i identificables. La cota més alta és la menys reeixida del conjunt i és la cota 232 o punta est."
Roques Veïnes de la Vella - Punta Oest,"Pujant carena amunt des de la roca de la Vella, es troten tres turons. Les dues cotes més baixes són les més destacables i identificables. La cota més alta és la menys reeixida del conjunt i és la cota 232 o punta est."
Cap Gros,Curiosa roca arodonida situada sota mateix de l'agulla Vista  i del camí del Montgròs
Agulla Alta de la Coma dels Naps de Baix,Altiva roca situada al sud de l'agulla del Cilindre o Cabrit en direcció al torrent de la Coma dels Naps de Dalt. Un ample coll separa aquesta roca del Cilindre. Per la seva base passa el camí del Torrent de la Coma dels Naps de Baix. Fou escalada per primera vegada per J.M. Torras i Joan Nubiola el 21 de setembre de 1952.
Agulla de l'Estrep,"Roca propera a una canal que s'inicia al sud del coll que hi ha entre la roca dels Esperantistes i la roca dels Nuvis. És veïna de la roca dels Republicans.  La primera ascensió la feren Vicenç Soto, J. Mata i Josep Barberà el 19 d'abril de 1970. Aquests escaladors superaren els primers metres de la roca gràcies a un clau i a un estrep, estri que dóna el nom a l'agulla."
Agulla del Pas del Nap,Agulla  pràcticament enganxada a la vessant sud de l'agulla de la roca de la Vorera. La primera ascensió fou efectuada per Vicenç Soto i Josep Barberà el 5 d’abril de 1970.
Agulla dels Naps de Dalt,"Es l’agulla més gran de la secció dels Naps. Es troba propera al torrent de la Coma Cirers per la vessant sud de la roca de la Vorera. La primera ascensió la feren J.M.Torras, J.Nubiola i J. Balcells el 3 d’octubre de 1954."
Agulla Fina dels Naps de Baix,"Aquesta agulla ha estat un dels monòlits del massís de Montserrat més temudes pels escaladors  per raó de la seva verticalitat i  per la llisor de les preses. Es troba a la fi d’una cinglera on hi la Foca en la seva part més alta. al peu d'aquesta agulla passa el camí del Cabrit.  Fou escalada per primera vegada el 12 d’octubre de 1952 per Jordi Panyella, J. Ayats, J. Sala, A. Agramont i D. Feiner."
Agulla Severí Ventós,Solitària roca situada a la part més alta del torrent de la Coma dels Naps de Baix.
Agulles del Torrent de les Grutes - Agulla del Tobi,"Grup de roques situades a la part alta del torrent de les Grutes. Totes presenten unes parets verticals abocades damunt del mateix torrent, mentre que pel cantó oposat  tenen molt poc desnviell."
Agulles del Torrent de les Grutes -Agulla Índia,"Grup de roques situades a la part alta del torrent de les Grutes. Totes presenten unes parets verticals abocades damunt del mateix torrent, mentre que pel cantó oposat  tenen molt poc desnviell."
Agulles del Torrent de les Grutes -Roca del Llençol,"Grup de roques situades a la part alta del torrent de les Grutes. Totes presenten unes parets verticals abocades damunt del mateix torrent, mentre que pel cantó oposat  tenen molt poc desnviell."
Agulles del Torrent de les Grutes -Roca Manuela,"Grup de roques situades a la part alta del torrent de les Grutes. Totes presenten unes parets verticals abocades damunt del mateix torrent, mentre que pel cantó oposat  tenen molt poc desnviell."
Bonys dels Naps 1 - Agulla Altiva,Al sud del serrat de les Saleres hi ha un conjunt de roques situades just al damunt de la cova de l'Arcada. Aquest roca forma part d'aquestes roques identificades com Bons dels Naps.
Bonys dels Naps 2,Al sud del serrat de les Saleres hi ha un conjunt de roques situades just al damunt de la cova de l'Arcada. Aquest roca forma part d'aquestes roques identificades com Bons dels Naps.
Bonys dels Naps 3,Al sud del serrat de les Saleres hi ha un conjunt de roques situades just al damunt de la cova de l'Arcada. Aquest roca forma part d'aquestes roques identificades com Bons dels Naps.
Bonys dels Naps 4,Al sud del serrat de les Saleres hi ha un conjunt de roques situades just al damunt de la cova de l'Arcada. Aquest roca forma part d'aquestes roques identificades com Bons dels Naps.
Bonys dels Naps 5,Al sud del serrat de les Saleres hi ha un conjunt de roques situades just al damunt de la cova de l'Arcada. Aquest roca forma part d'aquestes roques identificades com Bons dels Naps.
Bonys dels Naps 6,Al sud del serrat de les Saleres hi ha un conjunt de roques situades just al damunt de la cova de l'Arcada. Aquest roca forma part d'aquestes roques identificades com Bons dels Naps.
El Cilindre,"Aquesta roca és molt propera al coll de les Comes, en direcció sud oest i està separada per un coll de la Miranda del Cilindre. També és coneguda com el Cabrit. El nom de Cilindre és força antic, ja que així consta en la crònica de la primera ascensió a l’agulla feta l’1 de maig de 1936 per Caselles, Canal, Espunyes, Puigarnau i Serrat membres del Centre Excursionista de la Comarca del Bages. A la seva base hi ha una important balma que és un abric natural. El Cilindre té una visió molt característica des del coll de les Comes. En Josep Fatjó en el seu llibre d’història de l’Escalada a Montserrat (2005) explica que en Josep Barberà, tot escalant el Cilindre, 42 ascensió feta el 29 d’octubre de 1967 feta amb els seus amics Vicenç Soto i Albert Zanini, tingué la idea d’escalar totes i cadascuna de les agulles del massís de Montserrat. La concreció d’aquesta idea dóna origen a l’anomenada Operació Montserrat que anys més es plasmà en el llibre Montserrat pam a pam. En una nota escrita en un manuscrit de Josep Barberà al parlar del Cilindre esmenta a Albert Zanini Jordana dient que “fou el millor company muntanyenc que vaig tenir, desgraciadament el vaig perdre en un accident automobilístic”"
El Rovelló,Roca de dimensions modestes però amb unes formes força original amb una base molt estreta que dóna la impressió de que es troba en equilibri. Aquesta roca forma part del serrat de les Saleres i es veïna d'algunes de les roques del torrent de les Grutes.
El Soldat,"Destacat contrafort situat per damunt de la Minyona. Té una cara sud-est d'uns 40 metres. Adossada a la roca hi ha una agulleta allargasada que recorda a un fusell, per això el nom del soldat."
El Taxi,"Roca solitària de petites proporcions situada a la part superior de la serra de les Saleres molt a prop del camí de les Comes. La primera ascensió la feren F. Estorach, Maria Estorach i V. Garcia el 18 de juliol de 1947."
La Desapercebuda,Roca que costa de distingir per trobar-se pràcticament enganxada a la cara oest de la Miranda del Cilindre.
La Foca,"Roca amb una fisonomia especial. Presenta una altiva i allargada cara est abocada al canal del Conill, mentre que la vessant oest té poc alçada en relació a les roques veïnes. Durant un temps es confongué amb el nom de la Falsa Foca. La primera ascensió la feren J. Tintoré, J. Bultu, Suvi, J. Aguilar i J.Marcet del C.E. de Terrassa el 3 de març de 1957."
La Minyona,"Notable esperò adosat al vessant est del serrat de la Falsa Foca a poca distància del cim principal. Té una cara sud-est de 60 metres, mentre que la cara oposada si pot pujar pràcticament caminant."
La Síndria,"Gran roca encaixonada entre la roca inferior de l'Alzina i la roca de la Vorera, propera al torrent de la Coma Cirers. En David Hit suggereix que possiblement fou ascendida per primera vegada per Jaume Cerdà i Xavier Illa l'1 de maig de 1961 batejant-la, en aquell moment, com l'agulla del Diedre."
Miranda de la Coma dels Naps de Baix,Turó de fàcil accés tot caminant per la seva cara nord. Des del seu cim es domina el torrent de la Coma dels Naps de Baix.
Miranda del Cabrit o del Cilindre,Gran massa rocosa propera al Cilindre del qual està separada en per un coll. Té una important cara est.
Punta de Francesc Macià,Properes al peu de la voluminosa roca dels Esperantistes es troben tres notables roques que són també properes a l’agulla de l’Estrep. Una de les roques d’aquesta trilogia és la punta de Francesc Macià.
Punta de Pau Clarís,Properes al peu de la voluminosa roca dels Esperantistes es troben tres notables roques que són també properes a l’agulla de l’Estrep. Una de les roques d’aquesta trilogia és la punta de Pau Claris.
Roca de la Vorera,"Aquesta roca es troba seguint el torrent de la Coma dels Naps de Dalt avall i passada la roca de l'Alzina, sense  baixar al torret sobre el qual queda penjada. Posiblement, diu David Hita, fou ascendida per primer cop per Jaume Cerdà, A. Ruiz i Joan Boladeres el 15 d'octubre de 1962 sent batejada en aquells moments cop a agulla del Damunt."
Roca de l'Alzina,Roca situada a l’inici del torrent de la Coma Cirers per la seva riba esquerra. La primera ascensió la feu en Josep Barberà el 28 de març de 1970.
Roca de les Esgarrinxades,Roca propera a la roca Rodona envoltada de profussa i punxosa vegetació. Està propera al torrent de les Grutes.
Roca del Cargol,"Roca veïna a la roca del Llimac, ambudes situades a continuació de la Miranda de la Coma dels Naps de Baix. Per la vessant sud té un característic sostre vermellós."
Roca del Llimac,Roca veïna a la roca del Cargol ambudes situades a continuació de la Miranda de la Coma dels Naps de Baix. És una roca característica amb una figura molt marcda i estilitzada. És fàcil d'identificar des del torrent de la Coma dels Naps de Baix.
Roca del mig de l'Alzina,Roca que estroba entre la roca de l'Alzina i la roca inferior de l'Alzina.
Roca del Salt,"Roca que queda una mica amagada per la vegetació del seu entorn. Està al davant de la roca de l'Alzina, just a l'altra costat del torrent de la Coma Cirers. Pirmera ascensió per Jaume Cerdà i Xavier Illa l'1 de maig de 1961."
Roca dels Esperantistes,"Roca de grans proporcions situada en serrat del Cabrit i és l'última roca del conjunt que integren les roques del Cilindre, la Miranda del Cilindre i la roca dels Nuvis, quedant aquesta l'ultima situada a ponent de les anteriors. La primera ascensió la feren V. Soto i J. barberà el1 9 d'abril de 1976."
Roca dels Nuvis,Aquesta roca està en el serrat del Cabrit separada per un collet que la uneix a  la Miranda del Cilindre. Es troba entre la Roca dels Esperantistes i la Desapercebuda. És de petites dimensions. Es pot pujar amb una senzilla grimpada des del collet est.
Roca dels Republicans,Properes al peu de la voluminosa roca dels Esperantistes es troben tres notables roques que són també properes a l’agulla de l’Estrep. Una de les roques d’aquesta trilogia és la roca dels Republicans.
Roca inferior de l'Alzina,Petita roca situada entre el conjunt dels Bonys dels Naps i la Síndria al costat mateix de la riba esquerra del torrent de la Coma Cirers. La primera ascensió fou realitzada per Jaume Cerdà i Joan Boladeras el 15 d’octubre de 1962.
Roca Rodona,"Roca arrodonina situada més avall de la roca el Taxi en direcció al torrent de les Grutes. David Hita adverteix que en algunes guies es confonen la roca Rodona amb la del Taxi, ja que aquesta darrera també és rodona. Aquesta roca té una allargassada aresta Bruc d'uns 60 metres."
Serrat de la canal del Conill - Punta Central de la canal del Conill,Marcada carena que devalla entre la canal del Conill i la cresta que dóna origen a la Falsa Foca. Consta de tres puntes i aquesta és la central.
Serrat de la canal del Conill - Roca inferior de la Canal del Conill,Marcada carena que devalla entre la canal del Conill i la cresta que dóna origen a la Falsa Foca. Consta de tres puntes i aquesta és la inferior. Aquesta punta presenta una vessant sud amb un important desnivell abocat al torrent de la Coma dels Naps de Baix.
Serrat de la canal del Conill - Roca Superior de la canal del Conill,Marcada carena que devalla entre la canal del Conill i la cresta que dóna origen a la Falsa Foca. Consta de tres puntes i aquesta és la superior.
Serrat de la falsa Foca  - Contrafort inferior de la falsa Foca,Entre el serrat del Cabrit i la vessant oest del serrat del Faraó hi ha un petit serrat que davalla vers la confluència dels torrents de la canal del Conill i de la coma dels Naps de Baix. Aquest serrat està integrat per quatre puntes rocoses. De totes elles aquesta es troba a la part inferior del serrat al costat del torrent de la Coma dels Naps de Baix on es troben les primeres cordes del pas dels Ferros.
Serrat de la falsa Foca  - Contrafort superior de la falsa Foca,Entre el serrat del Cabrit i la vessant oest del serrat del Faraó hi ha un petit serrat que davalla vers la confluència dels torrents de la canal del Conill i de la coma dels Naps de Baix. Aquest serrat està integrat per quatre puntes rocoses. De totes elles aquesta es troba entre el contrafort inferior del serrat i la Falsa Foca.
Serrat de la falsa Foca  - Falsa Foca,"Entre el serrat del Cabrit i la vessant oest del serrat del Faraó hi ha un petit serrat que davalla vers la confluència dels torrents de la canal del Conill i de la coma dels Naps de Baix. Aquest serrat està integrat per quatre puntes rocoses. De totes aquestes puntes la que ocupa una posició més central té un forma que recorda a una foca. La forma d’aquesta roca evoca una foca i forma un petit pont en la seva part superior amb la roca veïna que és la punta superior de la Falsa Foca. Per la forma d’aquesta roca, durant alguns anys fou coneguda com la Foca confonent-la amb l'altra roca del mateix nom que es troba a poca distància. Aquest error encara perdura actualment en la cartografia montserratina de la editorial Alpina."
Serrat de la falsa Foca  - Punta superior,Entre el serrat del Cabrit i la vessant oest del serrat del Faraó hi ha un petit serrat que davalla vers la confluència dels torrents de la canal del Conill i de la coma dels Naps de Baix. Aquest serrat està integrat per quatre puntes rocoses. De totes aquestes aquesta ocupa una posició superior.
Serrat del Cabrit - Roca 250,"Aquesta roca forma part, juntament amb les altres, d'una llarga carena que forma el serrat del Cabrit que transcorre des del Cilindre, al nord, fins a la Proa al sud."
Serrat del Cabrit - Roca 251,"Aquesta roca forma part, juntament amb les altres, d'una llarga carena que forma el serrat del Cabrit que transcorre des del Cilindre, al nord, fins a la Proa al sud."
Serrat del Cabrit - Roca 270,"Aquesta roca forma part, juntament amb les altres, d'una llarga carena que forma el serrat del Cabrit que transcorre des del Cilindre, al nord, fins a la Proa al sud."
Serrat del Cabrit - Roca 272,"Aquesta roca forma part, juntament amb les altres, d'una llarga carena que forma el serrat del Cabrit que transcorre des del Cilindre, al nord, fins a la Proa al sud."
Agulla del Boixar,Agulla situada a tocar al torrent del Boixar provocant-li un estretament
Agulla del Castell,"Més que agulla és una llastra adossada al cingle. Porta aquest nom perquè és molt a prop de la casa de pagès del Castell. Queda més amunt, seguint el torrent del Clot del Tambor, de l'agulla del Dissabte. És molt propera al cingle i queda ben destacada. Si no hi prestem atenció pot ser que no es vegi. Fou escalada per primer cop l’any 1957 per J. Fornieles, Jaume Cerdà, Jaume Cerdà i M. Guasch."
Agulla del Senglar,"Gran proa rocosa que fa de contrafort a la veïna roca Roja, agulla a la qual està quasi enganxada per  la cara meridional.  La primera ascensió integral la feren l’any 1982 Anna Massip i Santi Llop. David Hita comenta que prèviament, l’any 1978/1979 el SAME de Sants l’havien equipat amb claus, algun burí, espit i parabolt."
Agulla dels Aperturistes,Petita agulla adosada a una curta cinglera rocosa que es troba a ma esquerra pujant pel camí de la cova del Cabrit un cop passada una basa d'aïgua que està en la cruïlla d'aquest camí amb el del clot del Boixar. Primera ascensió el 23 d'abril del 2004 per Albert Massó i Óscar Massó
Agulla dels germans Massó,"Petita agulla situada al marge est del torrent del Clot del Tambor, una mica més amunt de l'agulla del castell. La primera ascensió fou feta per Xavi Rosell, Juli Font i Pepe Rigo el 6 de març del 2005."
Agulleta de la cova de l'Arcada,"Petita roca adosada a la cinglera de la cova de l'Arcada molt propera a la gran balma d'aquesta cova. Escalada per primer cop el 17 d'octubre de 1981 per Joan Nubiola i Callís, J. Nubiola i Muck, Josep Maria Torras i Homet, J.M. Albaigès i Olivart."
Agulleta de la Tamborinada,Roca punxaguda recolzada a la roca de la Tamborinada per la seva cara sud.
Bloc de la cova del Boixar,Roca situada enfront de les dues entrades de la cova del Boixar. És un bloc després de la cinglera que es troba a prop.
Bloc de la cova del Cabrit,"Petita roca situada al costat mateix del camí que va de la cova del Cabrit a la roca del Tambor, molt propera a la cova."
Carena del Cavall dels Brucs - Punta Central,"Curta i accidentada cadena davalla des de la roca 273 (serrat del Cabrit) fins el Cavall dels Brucs. Aquesta cadena té destacades tres puntes rocoses. David Hita suggereix que foren escalades  parcialment per primer cop per J.Bofarull, J.Camarasa i Santlleí l’any 1945."
Carena del Cavall dels Brucs - Punta Est,"Curta i accidentada cadena davalla des de la roca 273 (serrat del Cabrit) fins el Cavall dels Brucs. Aquesta cadena té destacades tres puntes rocoses. David Hita suggereix que foren escalades  parcialment per primer cop per J.Bofarull, J.Camarasa i Santlleí l’any 1945."
Carena del Cavall dels Brucs - Punta Oest,"Curta i accidentada cadena davalla des de la roca 273 (serrat del Cabrit) fins el Cavall dels Brucs. Aquesta cadena té destacades tres puntes rocoses. David Hita suggereix que foren escalades  parcialment per primer cop per J.Bofarull, J.Camarasa i Santlleí l’any 1945."
Cavall dels Brucs,"Agulla que resta completament abocada sobre el torrent de la Coma dels Naps de Dalt. Veïna de la roca 277. També fou coneguda amb el nom de Pupa dels Brucs. El seu cim fou coronat per primera vegada pels membres del C.E. de Sabadell, J.Bofarull, J.Camarasa i Santlleí l’any 1945."
Cova de l'Arcada,"Bauma de grans dimensions originada pels despreniments del sostres. A terra encara es poden veure les restes d'aquest fenomen. Aquest inndret ha estat emprat per diversos esdeveniments: concerts,.trobades, recitals de poesia i altres activitats culturals."
El Boletet,"No és una roca de grans proporcions. Està adosada a la vessant sud-oest de la cota 273 dels serrat del Cabrit i la trobem en el tram que hi ha entre aquesta i la roca del Musclet, baixant a la dreta i en el mateix serrat. Josep Barberà la pujà per primera vegada el 12 d’abril de 1970."
El Bolig,Roca arrodonida de bones proporcions que està al mateix llit del torrent del Tambor poc abans d'arribar a la roca de la Tamborinada
El Cagalló de Cabra,Roca arrodonida de dimensions no massa grans situada a prop del camí que va de la cova del Boixar a la cova del Cabrit.
El Musclet,"És el primer monòlit que es troba a continuació de la roca 273, tot devallant cap al sud per la carena del serrat del Cabrit. Aquesta roca està situada al final del serrat del Cabrit. De fet, el Musclet barra pràcticament aquest serrat. A la paret nord hi una fissura que ratlla la roca de dalt a baix i li dóna l’aspecte de mol·lusc bivalve. La primera ascensió fou efectuada per R.Bassols, L. Padró i Domingo Nart el 21 de juny de 1959."
La Gorra,"Aquest roca resta a l'esquerra del Musclet, a la qual la uneix un coll."
La Piramideta,Roca grossa situada a 20 metres de distància a l'oest de la Parelleta. Davida Hita adverteix que està força amagda per la vegetació
La Proa (Roca Vella),"Aquesta és la roca que acaba el serrat del Cabrit i queda damunt de l'indret on s'ajunten els torrents de la Coma dels Naps de Dalt i de Baix, o torrent del Clot del Tambor, per bé que a molta alçada. A l'esquerra hi ha la Roca Roja, amb la qual clou el serrat i es precipita en els torrents. Cal no confondre-la amb l'agulla de la Vella: la que ara ens ocupa es troba sota el grup del Musclet, Veïna del Musclet i la Gorra. En el llibre d'en Josep Barberà (Montserrat Pam a Pam) aquesta agulla s'anomena Roca Vella, però els escaladors han popularitzat el nom de Proa. La primera ascensió la feren JM Torres i J. Nubiola el 19 de setembre de 1980."
La Tonsura,"Roca situada per sota la Proa (la Vella), també es coneguda com el Contrafort de la Proa. És fàcil d'identificar per la monolítica façana d'uns cinquanta metres. A la base de la paret d'aquesta roca hi ha una balma gran coneguda com la cova del Cabrit. No figura en l'inventari de Josep Barberà però si l'esmenten Josep Maria Rodés i Ferran Labraña en la seva guia d’escalada. La primera escalada la feren M.Carme i Paco Vargas el 2 de març de 1980."
Merlet de la Proa,Petita agulla adosada a la cara sud-est de la Proa. La primera ascensió fou feta per Vicenç Soto i Josep Barberà el 12 d'abril de 1970.
Roc del foc,Agulla molt petita adosada al peu de la cinglera de la Proa. Escalada per primer cop l'any 1980 per Joan Nubiola i Josep Maria Torras.
Roca 273,"Es una altre de les vàries cotes del serrat del Cabrit, es la més extrema de la secció"
Roca 276,Des de la cota 273 surt una cadena de roques descendent (Roques 276-277-278) cap al Cavall dels Brucs. La cota 276 és la primera d’aquesta cadena al costat de la cota 273
Roca 277,Des de la cota 273 surt una cadena de roques descendent (Roques 276-277-278) cap al Cavall dels Brucs. La cota 277 es troba a continuació de la cota 276
Roca 278,Des de la cota 273 surt una cadena de roques descendent (Roques 276-277-278) cap al Cavall dels Brucs. La cota 277 es troba a continuació de la cota 277 i al costa del Cavall dels Brucs
Roca de l'Embut,Roca situada a mig camí entre la roca Veïna de la Cova del Tambor i la roca de la font del Xebret.
Roca de la Cova del Tambor,Roca no massa gran situada a poca distància de la roca del Tambor. A la part oest d'aquesta roca hi ha una petita balma protegida amb un mur de pedra coneguda com la cova del Tambor.
Roca de la font d'en Xabret,Roca propera a la font del Xebret
Roca de la Tamborinada,Gran roca propera a la roca del Tambor. Està encaixonada dins del llit del torrent del Tambor on forma un pont que es pot passar-hi per sota.
Roca del Boixar,"Roca que destaca dins del conjunt anàrquic de rocs que es troben en el Clot del Boixar. Aquesta roca està formada per tres blocs. El primer, el de més dimensions, es troba dins del llit del torrent i és l'origen de les dues coves del Boixar. El segon bloc està abocat damunt del torrent i el tercer és propiament la roca del Boixar, gran pedra fàcil de remuntar amb grimpades."
Roca del Dissabte,Agulla solitària de petites dimensions situada al marge dret de l'entrada del clot del Tambor. Es troba a uns centenars metres de l'agulla del Castell. Es troba un cop iniciat el camí del Tambor a un centenar de metres abans d'arribar a l'agulla del Castell. Hi ha un savina al seu capdamunt.
Roca del Tambor,És un bloc de grans dimensions situada al bell mig del llit del torrent del Tambor camí del Clot del Tambor en la seva part superior. S'hi arriba pujant pel torrent del mateix nom. La primera ascensió la feren M. Muñoz i A. Auqué l’1 de febrer de 1959.
Roca Falsa del Tambor,Roca situada al sud de la roca del Tambor i a continuació d'aquesta. Es troba dins del llit del torrent.
Roca Roja,"Gran monòlit amb una impresionat cara oest, molt vertical i amb unes tonalitats vermelloses que donen nom a la roca. És la darrera roca per l'extrem esquerra del serrat del Cabrit. De lluny la roca destaca per la seva grandària. Queda abocada al torrent de la Coma dels Naps de Baix i no gaire lluny de l'agulla Fina dels Naps de Baix. Des del seu cim es té una àmplia perspectiva de l’agulla Fina dels Naps de Baix i l’agulla de l’Arítjol. Fou ascendida per primera vegada el 13 de juliol de 1952 per J.M. Torras i A. Caparrós."
Roca veïna de la Cova del Tambor,Roca situada enfront mateix de la roca de la Cova del Tambor a pocs metres del camí que puja cap a la cova del Cabrit.
Roca veïna de la Roca Roja,"Es troba a la cara sud-oest de la Roca Roja, de la qual pràcticament és un contrafort"
Serrat del Cabrit - Roca 273,"Aquesta roca forma part, juntament amb les altres, d'una llarga carena que forma el serrat del Cabrit que transcorre des del Cilindre, al nord, fins a la Proa al sud."
Torre de la cova de l'Arcada,"Es tracta d'un grup de llastres recolzades que destaquen en mig d'un conjunt de blocs amuntegats, restes d'un antic esfondrament, que es troben més amunt de la cova de l'Arcada."
Veïna del Musclet (Formigues),"Roca situada per sota de la roca dels Musclet i al costat de la Gorra, és més veïna d'aquesta que de la primera. El nom de Veïna del Musclet li fou donat per en Josep Barberà. Avui és coneix més com Agulla de les Formigues."
Agulla Ajaguda,"És la roca més destacada i esvelta d’aquesta secció. Està en el coll del Bassal dels Gats o, segons algunes persoens coll de l'Ajaguda.  En Josep Barberà anomena aquest coll com a Muset tot i que aquest està en una altra part del massís."
Agulla de Can Jorba,Agulla situada al marge esquerra del torrent del Migdia en la seva part alta on hi ha el Joc de l'Oca.
Agulla de la Llevantada,Petita agulla situada al costat mateix de la roca de la Castanyada
Agulla de la veïna de la Llevantada,Roca situada trente metres al sud de l'agulla de la Llevantada
Agulla de l'Avenc,"Aquesta agulla és veïna amb l’Agulla Ajaguda, ambdues formen una unitat perfectament identificable per la seva peculiar forma."
Agulla de l'Ocell Mort,Agulla situada en l'indret del coll del Bassal dels Gats. És veïna de l'agulla del Jardí.
Agulla del Jardí,Agulla propera al coll del Bassal dels Gats. Està situada al sud oest de la veïna agulla de l’Avenc.
Agulla del Pilot,Roca arrodonida situada a l'esquerra del senderó que puja pel torrent de la Coma d'en Pastor.
Agulla del Saltet,Gran roca situada al final d’una petita carena iniciada en el coll del Bassal dels Gats. És veïna de l'agulla de l’Ocell Mort. Com indica el seu nom és pot saltar d'una roca a l'altra.
Agulla Santllorentina del torrent de l'Estevet,Agulla de petites dimensions situada a la part mitja del torrent de l'Estevet per damunt de les roques de la Castanyada. Està just al damunt del camí i s'identifica també per una marca de pintura en el costat nord-oest.
El Cadirot,Gros bloc de pedra proper al Cadirot però situat un mica més al sud
El Capritx,Es tracta d'un ressalt rocós.
El Fitot,Petita roca situada al peu de la roca de la Castanyada pel cantó sud.
El Pit Roig,"Bloc que es troba enganxat a la base d’un cinglera que es troba pujant pel torrent de la Coma d’en Pastor més amunt de les Esquerdades, al mateix nivell de la roca de sant Miquel. La primera ascensió fou feta per Xavi Rosell i Pep Rigol el 24 de desembre de 2005."
El Taulot,"Bloc de grans dimensions de forma rectangular situat al mig del torrent de la Coma dels Naps de Baix just en el punt on aquest creua el camí de la cova del Cabrit al coll de la Palomera. Al costat hi ha uns altres rocs, tot i que el Taulot és el més destacat."
